<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MWG,20170620,69.23,71.27,69.16,70.54,420950
MWG,20170619,69.08,69.38,68.94,69.16,171770
MWG,20170616,69.82,69.82,69.09,69.23,176730
MWG,20170615,69.45,70.03,69.38,69.60,166790
MWG,20170614,69.09,69.45,68.73,69.45,215100
MWG,20170613,69.82,70.33,68.94,69.09,228320
MWG,20170612,70.76,71.05,70.03,70.18,120460
MWG,20170609,71.27,71.78,70.54,70.76,139610
MWG,20170608,70.90,71.63,70.39,71.27,290590
MWG,20170607,69.96,70.69,69.45,70.54,359430
MWG,20170606,69.09,70.18,68.73,69.96,258430
MWG,20170605,69.09,69.60,68.65,69.09,146690
MWG,20170602,70.54,70.54,68.94,69.45,124580
MWG,20170601,68.00,69.67,68.00,69.67,215340
MWG,20170531,67.49,69.45,67.49,68.00,185320
MWG,20170530,68.00,68.73,67.27,67.85,358640
MWG,20170529,70.54,71.12,68.50,68.51,399320
MWG,20170526,70.91,71.27,70.40,70.54,244610
MWG,20170525,71.99,73.45,71.19,71.49,419610
MWG,20170524,69.08,73.52,69.08,71.92,844050
MWG,20170523,66.54,69.08,66.32,68.72,418500
MWG,20170522,69.09,69.09,66.18,66.32,695190
MWG,20170519,65.09,65.52,65.02,65.45,303350
MWG,20170518,64.91,65.63,64.55,65.02,201390
MWG,20170517,65.27,65.85,64.44,64.91,185390
MWG,20170516,66.17,66.17,64.94,65.16,261360
MWG,20170515,62.89,66.36,62.89,66.13,448540
MWG,20170512,62.56,62.81,62.02,62.75,183350
MWG,20170511,62.38,62.93,62.02,62.38,121850
MWG,20170510,62.74,63.14,62.24,62.24,260390
MWG,20170509,61.34,62.21,61.34,62.20,199170
MWG,20170508,62.02,62.13,61.26,61.63,67420
MWG,20170505,62.02,62.38,61.66,62.02,142540
MWG,20170504,60.94,62.03,60.94,61.95,225890
MWG,20170503,59.86,61.12,59.86,60.80,73610
MWG,20170428,60.19,60.22,59.86,60.22,102600
MWG,20170427,59.50,60.19,59.18,60.15,76780
MWG,20170426,58.96,59.97,58.96,59.18,145010
MWG,20170425,59.54,59.86,58.67,58.96,73220
MWG,20170424,60.18,60.58,59.86,59.86,150250
MWG,20170421,59.86,60.36,59.86,60.04,55150
MWG,20170420,60.22,60.22,59.86,59.86,40210
MWG,20170419,58.78,60.22,58.78,60.22,98260
MWG,20170418,59.50,59.50,58.13,58.78,177340
MWG,20170417,60.22,60.58,59.50,59.50,206180
MWG,20170414,61.30,61.34,60.29,60.29,126310
MWG,20170413,61.12,61.55,61.12,61.30,86350
MWG,20170412,60.69,61.63,60.62,60.94,160680
MWG,20170411,59.94,60.80,59.94,60.80,88220
MWG,20170410,60.22,60.22,59.86,59.90,69450
MWG,20170407,60.22,60.33,59.86,60.22,54260
MWG,20170405,60.04,60.36,60.04,60.22,57020
MWG,20170404,60.40,60.40,59.90,60.04,98080
MWG,20170403,60.94,60.94,60.08,60.40,155160
MWG,20170331,60.26,61.05,60.26,60.69,62910
MWG,20170330,59.93,60.83,59.93,60.76,142470
MWG,20170329,59.86,60.65,59.32,60.40,309790
MWG,20170328,59.86,60.51,59.50,59.86,131620
MWG,20170327,60.83,61.30,59.78,59.86,356790
MWG,20170324,61.12,61.23,60.76,60.83,105010
MWG,20170323,61.01,61.26,60.51,60.76,175150
MWG,20170322,61.92,62.03,60.94,61.01,254390
MWG,20170321,61.88,62.31,61.88,62.17,141970
MWG,20170320,62.39,62.39,61.70,61.95,91340
MWG,20170317,61.66,62.16,60.94,61.92,236840
MWG,20170316,63.65,63.72,61.49,61.66,349140
MWG,20170315,62.74,63.07,62.24,62.75,357810
MWG,20170314,61.30,62.02,61.30,62.02,242660
MWG,20170313,61.48,61.95,61.12,61.23,223660
MWG,20170310,60.94,61.23,60.80,60.94,54480
MWG,20170309,61.23,61.30,60.83,60.94,41170
MWG,20170308,60.91,62.17,60.59,61.23,278100
MWG,20170307,59.97,60.69,59.50,60.55,116510
MWG,20170306,60.22,60.40,59.86,59.97,95580
MWG,20170303,60.22,60.29,59.86,59.97,106870
MWG,20170302,59.90,60.94,59.86,60.22,100290
MWG,20170301,60.22,60.22,59.83,60.04,104490
MWG,20170228,60.58,60.94,60.26,60.26,115880
MWG,20170227,61.09,62.38,60.58,60.80,338060
MWG,20170224,58.82,59.86,58.42,59.86,189820
MWG,20170223,59.90,60.22,58.96,59.61,242260
MWG,20170222,60.94,61.12,59.68,59.90,203790
MWG,20170221,60.58,61.30,60.58,60.76,114080
MWG,20170220,62.02,62.02,60.58,60.58,213330
MWG,20170217,62.38,63.28,61.55,62.02,438000
MWG,20170216,62.27,64.18,62.27,62.38,224120
MWG,20170215,62.02,62.67,61.66,62.38,112270
MWG,20170214,62.68,62.71,62.03,62.02,113620
MWG,20170213,60.94,62.71,60.94,62.46,399340
MWG,20170210,60.22,61.12,60.22,60.69,131350
MWG,20170209,60.87,60.91,59.61,60.22,249940
MWG,20170208,61.31,61.45,60.22,60.87,204010
MWG,20170207,61.30,61.62,61.12,61.45,200400
MWG,20170206,60.58,61.63,60.08,61.48,249400
MWG,20170203,60.94,61.63,60.25,60.58,122970
MWG,20170202,58.06,60.95,57.74,60.94,422570
MWG,20170125,57.34,57.70,57.16,57.70,82160
MWG,20170124,57.08,57.33,56.97,57.34,120870
MWG,20170123,57.66,57.66,56.80,57.08,62600
MWG,20170120,56.66,57.70,56.66,57.52,74860
MWG,20170119,57.34,57.34,56.80,56.80,37760
MWG,20170118,57.02,57.20,56.98,56.98,82110
MWG,20170117,56.98,57.16,56.80,56.98,106820
MWG,20170116,57.34,57.70,57.16,57.16,83590
MWG,20170113,57.70,57.81,57.38,57.52,84390
MWG,20170112,57.70,58.57,57.70,57.70,205680
MWG,20170111,56.80,57.70,56.80,57.70,348450
MWG,20170110,56.33,57.12,55.93,56.69,180070
MWG,20170109,56.97,56.97,56.43,56.51,126740
MWG,20170106,56.86,57.30,56.61,56.90,210050
MWG,20170105,56.72,56.90,56.61,56.90,116930
MWG,20170104,56.51,56.91,56.29,56.72,75090
MWG,20170103,56.25,56.61,55.89,56.51,127640
MWG,20161230,56.58,56.98,56.08,56.25,739330
MWG,20161229,57.34,57.70,56.80,57.34,319690
MWG,20161228,57.52,57.52,57.02,57.41,141150
MWG,20161227,57.30,58.06,57.01,57.52,252970
MWG,20161226,55.89,57.30,55.89,57.30,280350
MWG,20161223,55.93,56.18,55.71,55.82,198200
MWG,20161222,55.90,56.15,55.39,55.89,249980
MWG,20161221,55.75,56.22,55.53,56.15,156770
MWG,20161220,54.09,55.75,53.76,55.75,292650
MWG,20161219,56.26,57.16,53.37,54.45,1394910
MWG,20161216,55.17,55.64,54.99,55.32,52320
MWG,20161215,56.18,56.18,55.46,55.46,110950
MWG,20161214,54.81,55.90,54.81,55.89,71500
MWG,20161213,54.89,55.35,54.49,55.03,84180
MWG,20161212,56.07,56.07,55.02,55.03,84390
MWG,20161209,55.89,56.25,55.53,55.89,81800
MWG,20161208,56.58,56.58,55.36,55.89,97210
MWG,20161207,55.35,55.85,54.12,55.61,180290
MWG,20161206,56.61,57.66,55.35,55.53,298940
MWG,20161205,59.14,59.14,56.62,56.61,249980
MWG,20161202,60.11,60.11,59.50,59.50,167130
MWG,20161201,59.50,60.40,59.50,59.68,249290
MWG,20161130,58.78,59.50,58.42,59.50,196420
MWG,20161129,59.14,59.14,58.60,58.78,112320
MWG,20161128,58.60,59.68,58.60,58.60,286650
MWG,20161125,58.49,59.14,57.69,58.78,107770
MWG,20161124,58.42,59.14,58.42,58.45,68530
MWG,20161123,59.14,59.50,57.69,58.42,241160
MWG,20161122,56.29,59.28,56.29,59.28,273000
MWG,20161121,56.39,56.94,56.25,56.43,47690
MWG,20161118,55.57,56.79,55.57,56.25,69310
MWG,20161117,55.53,56.86,55.17,56.07,150580
MWG,20161116,55.93,56.01,55.14,55.17,160290
MWG,20161115,56.79,56.97,55.74,55.97,162860
MWG,20161114,56.62,58.02,56.62,56.61,198830
MWG,20161111,56.80,57.70,56.26,57.05,105990
MWG,20161110,57.33,58.05,56.43,56.80,233850
MWG,20161109,54.92,55.90,53.01,55.89,319730
MWG,20161108,55.35,56.61,55.17,55.61,136330
MWG,20161107,54.81,55.50,54.67,54.99,34680
MWG,20161104,55.17,56.07,54.45,54.63,338550
MWG,20161103,52.65,55.18,52.65,55.17,627210
MWG,20161102,53.01,53.84,52.65,52.94,104410
MWG,20161101,51.57,53.08,51.57,53.01,105610
MWG,20161031,53.55,53.55,52.29,52.29,118380
MWG,20161028,52.83,53.55,52.83,53.55,118150
